Sglm1-c,Sglm1-S,Sglm1-P,Sglm1-Or,Sglm1-Oi,Sglm1-bonus,Sglm2-c,Sglm2-S,Sglm2-P,Sglm2-Or,Sglm2-Oi,Sglm2-bonus,Pglm1-c,Pglm1-S,Pglm1-P,Pglm1-Or,Pglm1-Oi,Pglm1-bonus,Pglm2-c,Pglm2-S,Pglm2-P,Pglm2-Or,Pglm2-Oi,Pglm2-bonus,Gglm1-c,Gglm1-S,Gglm1-P,Gglm1-O1,Gglm1-O2,Gglm1-bonus,Gglm2-c,Gglm2-S,Gglm2-P,Gglm2-O1,Gglm2-O2,Gglm2-bonus
0.38363,0.84617,0.24985,-1.3045,-0.43112,0.28174,0.23616,1.0499,-0.10269,-0.84219,-0.064673,0.75332,-0.20278,0.20799,1.1963,-1.0243,-0.2746,0.23069,0.64866,-0.0035472,0.99674,-1.1959,-0.35846,0.62381,1.0686,1.0265,0.84927,-0.92308,-1.2444,0.68662,-0.33597,0.79953,1.4071,-1.5303,-0.5701,0.15654
0.09438,0.60015,0.17427,-0.62517,-0.44427,1.3362,0.16328,0.86474,0.27287,0.010038,-0.40356,1.5313,0.21193,-0.061604,-0.15785,0.14957,-0.22953,0.9253,0.50367,0.31919,0.40403,-0.51294,-0.20813,1.1877,0.082456,0.4168,0.3971,-0.66316,-0.75468,1.1203,0.20498,0.95523,-0.11781,-0.17943,-1.0634,2.0822
-0.23472,1.3217,-0.36281,-0.88139,-0.23977,0.65393,0.012252,1.1659,0.39847,-0.23707,-0.37538,0.6461,0.12006,-0.055933,0.7851,-1.4621,-0.35165,-0.017236,-0.60285,-0.076529,0.97507,-0.83399,0.20728,0.52258,-0.14504,1.3893,1.0651,-0.96264,-0.6434,0.49299,0.17896,0.77228,0.36695,-0.4636,-0.86055,0.77203
0.162,1.3087,-0.012905,-0.79909,0.00407,0.81869,0.2761,0.86525,0.090075,-1.3319,-0.51845,0.77567,-0.105,0.17516,0.4267,-0.72888,-0.43102,0.49241,-0.23831,0.19251,0.38805,-0.0074183,0.23087,1.1768,0.69151,0.4919,0.19214,-0.27318,-0.48813,1.6988,0.36589,0.4881,0.44789,-0.3869,-0.6473,1.066
0.42598,0.74891,-0.071888,-1.1757,-0.089842,0.5029,0.10281,0.13491,-0.46885,-0.58728,-0.072698,0.3849,0.45838,-0.15633,0.56765,-0.61907,-0.26735,0.47006,0.7381,0.56121,0.62888,-0.9538,0.008452,1.2073,0.62791,1.0447,0.8802,-0.39472,-0.55867,1.1741,0.042705,0.56828,0.83879,-0.13393,-0.69066,0.95802
1.6848,0.29469,0.20744,-0.97744,-0.72287,-0.49763,0.71868,0.51981,0.27884,-0.53225,-0.42482,0.54939,0.18611,0.323,0.87272,-1.0432,-0.2783,0.31188,0.73545,0.49918,0.42009,-0.622,-0.1887,0.55113,1.0549,0.52931,0.051905,-0.51646,-0.73407,0.81494,0.58601,0.75184,0.42901,-0.69322,-0.50164,0.98181
-0.09451,0.38481,-0.22731,-0.61987,-0.019313,0.21953,-0.35793,0.31426,-0.34466,-0.26168,0.26177,0.13426,-0.64617,-0.1191,0.4103,-0.13874,0.096715,-0.38622,0.7011,-0.2964,-0.40907,0.11092,0.38557,0.54137,-0.076719,0.38594,-0.18159,-0.35506,-0.16719,0.80518,-0.74021,0.90071,-0.49062,-0.40132,-0.14775,1.2785
0.74703,0.57903,0.21964,-1.3186,-0.51048,1.2504,0.40166,0.77033,-0.44765,-0.8849,-0.53501,0.8923,0.71396,0.0076486,0.70393,-0.56252,0.311,1.316,-0.41845,0.15459,0.8049,-0.80755,-0.43041,0.91379,-0.11808,0.94682,0.34543,-1.0717,-0.65194,0.69535,0.40846,1.3444,0.55548,-0.022331,-0.6694,1.3856
0.31469,0.92097,0.48872,-0.18266,-0.15565,0.34151,-0.19177,0.6454,0.086672,-0.52057,0.23205,0.47005,0.91351,-0.044324,0.49845,-0.46276,-0.14479,-0.37083,0.29624,-0.22745,0.63054,-0.18919,-0.18989,0.52552,-0.020716,0.51903,0.33605,-0.43724,-0.040902,-0.60758,0.18684,0.4036,0.32095,-0.10393,-0.23877,-0.24306
-0.3157,1.1891,0.30287,-1.2153,-0.078043,0.75002,-0.40978,1.275,0.037451,-0.71574,-0.24455,0.8384,0.080567,0.37964,0.89011,-1.2916,-0.1293,0.796,-0.54586,0.20505,1.4067,-0.95173,-0.057673,0.3829,-0.31299,1.4097,0.78322,-1.1214,-1.3295,0.62399,-0.42038,0.96157,1.4055,-0.86664,-0.91112,1.1014
