schedule,cons_test,p1_test,p2_test,p3_test,p4_test,bonus_test,pre3,post3
pre4post4,0.412609992966332,0.103470804357515,0.105776004332555,0.322809929816519,0.883165309172653,0.770708468428909,0,0
pre4post4,-0.535644111736798,-0.178040316144785,-0.028385226800357,-0.0222326461364466,-0.478432547736649,0.0325779299390606,0,0
pre4post4,-0.000279010381417565,-0.169161866313787,0.0953950790414836,0.201156358151473,0.11121811466042,0.113708746046607,0,0
pre4post4,0.441210988337558,0.427087339423132,0.288869617023327,0.310150072947886,0.370282747884084,-0.367724259317938,0,0
pre4post4,0.116206351933439,0.146765475813002,0.682361020239736,0.569270914192374,0.155470658654429,0.245957337726893,0,0
pre4post4,0.123991349790977,0.668664754745218,0.30903406921116,0.412248173384465,0.430063026324173,0.280360056910738,0,0
pre4post4,0.639784835389642,0.565229409958506,0.870698714224447,0.407183142994193,0.752013772126929,-0.00398543770421612,0,0
pre4post4,0.876211309631734,0.432647331181785,0.136952955303884,0.100684638092164,0.7371870790773,0.447621870515755,0,0
pre4post4,0.561895759748847,0.672282145238656,0.601894658473502,0.466921306669578,1.03142519025145,-0.363591850156837,0,0
pre4post4,0.326885746351084,0.765763977370197,0.731755784726607,0.585164609715938,1.10176395106121,0.0320775233271409,0,0
pre4post4,0.460863562909951,0.492742132374497,0.670819922516109,-0.176558296094748,0.27601911851554,-0.170624189243483,0,0
pre4post4,-0.0417629180763398,0.956925637581471,0.299319559435346,-0.00389818774486027,0.607601202230253,-0.0319500654720398,0,0
pre4post4,0.271056291813757,0.750088538120933,0.808263309549868,0.181084309335591,0.469392258761952,0.209182936670021,0,0
pre4post4,0.750615212661084,0.707752517738048,0.46116732656809,0.0422006211577158,0.534766606485169,0.565823185600733,0,0
pre4post4,0.554880751150708,0.397193933235006,0.458959853433247,-0.0467002095848094,0.928518657599179,0.25013527699416,0,0
pre4post4,0.39709437908272,0.184339793342953,0.42213027490759,0.185131150251416,0.0699033345861018,0.0275357251084376,0,0
pre4post4,0.476202093140244,1.03056710363081,0.568305776716393,0.575320898364443,0.623762741166144,0.108165841489746,0,0
pre4post4,-0.985289522579126,-0.0786047157767451,-0.347010400501189,0.352510119473701,0.101530209718543,1.40021051345638,0,0
pre4post4,-0.211988713789465,0.801130431959007,0.382752466361741,0.428774680486222,0.523081450309443,0.750213315076537,0,0
pre4post4,1.93731522944664,0.107774746071547,0.491283007713184,0.52644281131717,0.843080659309129,0.844248485658885,0,0
pre4post4,0.465645448860045,1.10713481776641,0.606942413581568,-0.0689199256731244,0.652635524123724,-0.131178316833941,0,0
pre4post4,0.283819907280088,0.937776825714584,0.454621452089871,0.555727517315989,0.806391431800053,0.487681720069957,0,0
pre4post4,-0.401565659291075,0.452892841722388,-0.158186104204843,-0.187260859257622,-0.151378202345012,-0.041632484987915,0,0
pre4post4,0.126141673264145,-0.174514706615776,0.18813229836073,0.223653718344964,0.577578917500263,0.279603681418678,0,0
pre4post4,0.0190812681642744,-0.102114819553892,-0.154610460786527,-0.366272544451366,0.00292913630539122,1.39209801089991,0,0
pre4post4,-0.0877139945186505,1.04589178119188,0.675952241570535,0.733977508166824,0.638739540110175,0.477408726212158,0,0
pre4post4,0.262226387379238,0.511316030188319,0.191024850747535,0.134529928238557,0.616202763871567,0.18991509378042,0,0
pre4post4,0.307767618169131,1.06528584518529,0.294681527823116,0.577216945797897,0.552865067456005,0.213873479941586,0,0
pre4post4,0.464261610378495,0.871292306296601,0.572790361801054,0.53000524787224,0.447234451268205,-0.157117074205477,0,0
pre4post4,-0.261574362798135,0.0256372649549762,-0.0758248590607254,0.627754324498071,0.745626710305178,-0.251668695745881,0,0
pre4post4,-0.383252257828388,0.792807757285692,0.473194745023181,0.484159401623325,0.59941386682681,0.429677214947713,0,0
pre4post4,0.331170402617562,0.577897294550806,0.1384809811735,0.335647581925176,1.17905965457699,0.0283276235006508,0,0
pre4post4,-0.159841668201182,0.556225407833114,0.163322200501831,-0.0630348343965582,0.418477892734765,0.453381891629098,0,0
pre4post4,0.132732073449182,0.997828764680384,0.216951179041096,0.305451396241544,0.580903863662322,0.541450508678685,0,0
pre4post4,0.110073099852826,0.68849480008376,0.825029133169769,0.308418582562008,0.250553977344653,0.285643977135218,0,0
pre4post4,0.766033621359115,0.445359903994217,0.311947550908126,-0.538282724830252,-0.0826189161227936,0.221030226713651,0,0
pre4post4,1.37950180342827,-0.285450983823122,0.200029836318564,-0.0772275090494398,0.438255247036829,-0.156466119185719,0,0
pre4post4,0.779939557464146,0.731936758151384,0.681128310388259,0.017847187137499,0.855464625827831,0.137982771981253,0,0
pre4post4,0.473731770702167,0.443529058754363,0.649110428237287,-0.127933179840006,-0.328211041179384,0.18973968495381,0,0
pre4post4,-0.175624092812095,0.442941811421406,-0.225491056301674,0.235615346561689,0.695480896485081,0.714384170225691,0,0
pre4post4,0.635216134462969,0.925835821447456,0.345052595045792,0.425726430472242,0.726460093704597,0.232977713269466,0,0
pre4post4,0.698372472713399,0.871200618274748,0.668899911252196,0.692876457578683,0.781593872227077,-0.0205787086684129,0,0
pre4post4,-0.201971137566171,0.410101512520683,0.401451497036644,1.04189797574199,0.532873494141059,0.321573870915246,0,0
pre4post4,0.119717997739581,0.994096415919284,0.492804375028233,0.85210045560239,0.641800016006755,0.352488409577774,0,0
pre4post4,0.129886178931373,0.607797725103548,0.340801313009816,-0.123127236468785,0.332339264370111,0.910226740657074,0,0
pre4post4,1.19279633304313,0.471500284622267,0.446819291656674,0.357038761984486,0.668106597984194,-0.425362724754565,0,0
pre4post4,0.291848769294711,0.613336591226032,0.670176061583428,0.317084922722237,1.10504278917824,0.0477920173058691,0,0
pre4post4,-0.207074028310204,1.18043746554896,0.138686690492761,0.334307645998182,0.854240851495035,0.11357058923036,0,0
pre4post4,0.11345855555746,0.402298714289553,0.993852495720195,0.675963069570314,-0.163472609902935,0.00182521602323641,0,0
pre4post4,-0.669553076729283,0.0952930816619098,0.30421072363034,0.0442736181765054,-0.0277992076253865,0.179472912177458,0,0
pre4post4,-1.53347399025507,0.178274427674088,0.252289032726391,-0.121378505748652,-0.0854369337175581,-0.220490760354252,0,0
pre4post4,-0.0131836399208923,0.30795197340199,0.0783002341811429,0.392547438082969,0.504119752452469,0.371362315989331,0,0
pre4post4,1.09022650537758,0.456704234002176,0.416782838178675,0.187252285943355,0.722172209470329,0.600901718190647,0,0
pre4post4,0.284246600688057,0.797837315933277,0.302733723987608,0.0304258023725284,0.903489459619543,-0.209152099019287,0,0
